attack,layer,auroc_with_trigger,auroc_stripped
badnets,0,0.9193,0.9211
badnets,1,0.7179,0.7135
badnets,2,0.7188,0.7146
badnets,3,0.7219,0.7176
badnets,4,0.7274,0.7236
badnets,5,0.7352,0.7322
badnets,6,0.7459,0.7433
badnets,7,0.7534,0.7514
badnets,8,0.7644,0.762
badnets,9,0.78,0.7776
badnets,10,0.7983,0.7963
badnets,11,0.8083,0.806
badnets,12,0.8195,0.8174
badnets,13,0.8338,0.8324
badnets,14,0.8414,0.8407
badnets,15,0.8547,0.855
badnets,16,0.8715,0.8726
badnets,17,0.8787,0.8803
badnets,18,0.8831,0.8848
badnets,19,0.8864,0.888
badnets,20,0.8904,0.8925
badnets,21,0.8931,0.8954
badnets,22,0.8994,0.9022
badnets,23,0.9023,0.9053
badnets,24,0.9081,0.911
badnets,25,0.9104,0.913
badnets,26,0.9168,0.92
badnets,27,0.9205,0.9238
badnets,28,0.9277,0.9299
badnets,29,0.9405,0.9419
badnets,30,0.9679,0.9696
badnets,31,0.9316,0.9357
vpi,0,0.9168,0.9185
vpi,1,0.7308,0.7169
vpi,2,0.7308,0.718
vpi,3,0.7345,0.7209
vpi,4,0.7387,0.7266
vpi,5,0.7463,0.7344
vpi,6,0.7552,0.7453
vpi,7,0.7627,0.7529
vpi,8,0.7737,0.764
vpi,9,0.7882,0.7795
vpi,10,0.8042,0.7979
vpi,11,0.8128,0.8079
vpi,12,0.8235,0.819
vpi,13,0.8369,0.8332
vpi,14,0.8422,0.841
vpi,15,0.8547,0.8543
vpi,16,0.868,0.8709
vpi,17,0.8746,0.8782
vpi,18,0.8787,0.8828
vpi,19,0.8817,0.8861
vpi,20,0.8851,0.8903
vpi,21,0.8866,0.893
vpi,22,0.8912,0.8992
vpi,23,0.8933,0.9023
vpi,24,0.8993,0.9083
vpi,25,0.9013,0.9105
vpi,26,0.9078,0.9171
vpi,27,0.9116,0.9208
vpi,28,0.9197,0.9282
vpi,29,0.9359,0.9412
vpi,30,0.9657,0.9687
vpi,31,0.9261,0.9325
sleeper,0,0.9136,0.9185
sleeper,1,0.7439,0.7169
sleeper,2,0.7439,0.718
sleeper,3,0.7466,0.7209
sleeper,4,0.7511,0.7266
sleeper,5,0.7575,0.7344
sleeper,6,0.7653,0.7453
sleeper,7,0.7719,0.7529
sleeper,8,0.7818,0.764
sleeper,9,0.7945,0.7795
sleeper,10,0.8092,0.7979
sleeper,11,0.8186,0.8079
sleeper,12,0.8279,0.819
sleeper,13,0.8396,0.8332
sleeper,14,0.8447,0.841
sleeper,15,0.8561,0.8543
sleeper,16,0.8684,0.8709
sleeper,17,0.8745,0.8782
sleeper,18,0.8782,0.8828
sleeper,19,0.8812,0.8861
sleeper,20,0.8853,0.8903
sleeper,21,0.8865,0.893
sleeper,22,0.8923,0.8992
sleeper,23,0.8948,0.9023
sleeper,24,0.9011,0.9083
sleeper,25,0.9022,0.9105
sleeper,26,0.9092,0.9171
sleeper,27,0.912,0.9208
sleeper,28,0.9183,0.9282
sleeper,29,0.9317,0.9412
sleeper,30,0.9621,0.9687
sleeper,31,0.9238,0.9325
