attack,layer,auroc
badnets,0,0.921
badnets,1,0.7187
badnets,2,0.7196
badnets,3,0.7226
badnets,4,0.7283
badnets,5,0.7341
badnets,6,0.744
badnets,7,0.7525
badnets,8,0.7672
badnets,9,0.8015
badnets,10,0.8157
badnets,11,0.8256
badnets,12,0.8471
badnets,13,0.8937
badnets,14,0.8964
badnets,15,0.9052
badnets,16,0.9211
badnets,17,0.9232
badnets,18,0.9286
badnets,19,0.9303
badnets,20,0.9373
badnets,21,0.9405
badnets,22,0.9452
badnets,23,0.9475
badnets,24,0.9593
badnets,25,0.9634
badnets,26,0.9703
badnets,27,0.9737
badnets,28,0.979
badnets,29,0.9826
badnets,30,0.9962
badnets,31,0.9924
vpi,0,0.917
vpi,1,0.7325
vpi,2,0.7328
vpi,3,0.7358
vpi,4,0.7403
vpi,5,0.7466
vpi,6,0.7539
vpi,7,0.7638
vpi,8,0.7754
vpi,9,0.8064
vpi,10,0.8197
vpi,11,0.8277
vpi,12,0.8478
vpi,13,0.8969
vpi,14,0.8966
vpi,15,0.9056
vpi,16,0.9211
vpi,17,0.9241
vpi,18,0.929
vpi,19,0.9303
vpi,20,0.9374
vpi,21,0.9401
vpi,22,0.9454
vpi,23,0.9469
vpi,24,0.9578
vpi,25,0.9618
vpi,26,0.9692
vpi,27,0.9737
vpi,28,0.9797
vpi,29,0.9864
vpi,30,0.9981
vpi,31,0.9952
ctba,0,0.9204
ctba,1,0.7256
ctba,2,0.7266
ctba,3,0.7299
ctba,4,0.7345
ctba,5,0.7397
ctba,6,0.7508
ctba,7,0.7585
ctba,8,0.7713
ctba,9,0.797
ctba,10,0.8105
ctba,11,0.821
ctba,12,0.8396
ctba,13,0.8763
ctba,14,0.8832
ctba,15,0.8959
ctba,16,0.9132
ctba,17,0.9168
ctba,18,0.9223
ctba,19,0.9236
ctba,20,0.9303
ctba,21,0.9339
ctba,22,0.9385
ctba,23,0.9409
ctba,24,0.9493
ctba,25,0.9537
ctba,26,0.9611
ctba,27,0.9651
ctba,28,0.9715
ctba,29,0.9758
ctba,30,0.9928
ctba,31,0.989
mtba,0,0.9184
mtba,1,0.7221
mtba,2,0.7229
mtba,3,0.727
mtba,4,0.7316
mtba,5,0.7375
mtba,6,0.7431
mtba,7,0.7529
mtba,8,0.7677
mtba,9,0.812
mtba,10,0.8257
mtba,11,0.8375
mtba,12,0.8611
mtba,13,0.896
mtba,14,0.8991
mtba,15,0.9078
mtba,16,0.9252
mtba,17,0.9264
mtba,18,0.9328
mtba,19,0.9345
mtba,20,0.9419
mtba,21,0.9452
mtba,22,0.95
mtba,23,0.9524
mtba,24,0.9606
mtba,25,0.9647
mtba,26,0.9709
mtba,27,0.9741
mtba,28,0.9796
mtba,29,0.9846
mtba,30,0.9972
mtba,31,0.9942
sleeper,0,0.916
sleeper,1,0.7437
sleeper,2,0.7438
sleeper,3,0.747
sleeper,4,0.7512
sleeper,5,0.7563
sleeper,6,0.7643
sleeper,7,0.7773
sleeper,8,0.789
sleeper,9,0.8184
sleeper,10,0.8316
sleeper,11,0.8417
sleeper,12,0.8593
sleeper,13,0.8894
sleeper,14,0.8924
sleeper,15,0.902
sleeper,16,0.9212
sleeper,17,0.9256
sleeper,18,0.9305
sleeper,19,0.9327
sleeper,20,0.9399
sleeper,21,0.942
sleeper,22,0.9466
sleeper,23,0.9486
sleeper,24,0.9608
sleeper,25,0.9642
sleeper,26,0.9718
sleeper,27,0.9753
sleeper,28,0.9811
sleeper,29,0.9856
sleeper,30,0.9977
sleeper,31,0.9942
