attack,layer,l2_separation,cosine_similarity,auroc
badnets,4,3.7875,0.999311,0.7283
badnets,8,4.0103,0.995953,0.7672
badnets,12,5.401,0.979257,0.8471
badnets,16,9.4143,0.931562,0.9211
badnets,20,11.7538,0.912931,0.9373
badnets,24,14.6439,0.909051,0.9593
badnets,28,17.9587,0.919878,0.979
badnets,31,21.7506,0.794534,0.9924
vpi,4,4.3762,0.999209,0.7403
vpi,8,4.5688,0.996104,0.7754
vpi,12,5.7893,0.978545,0.8478
vpi,16,9.6549,0.927734,0.9211
vpi,20,12.0602,0.907137,0.9374
vpi,24,14.9283,0.905053,0.9578
vpi,28,18.4921,0.914768,0.9797
vpi,31,23.297,0.771252,0.9952
ctba,4,4.131,0.999292,0.7345
ctba,8,4.3476,0.99591,0.7713
ctba,12,5.397,0.981898,0.8396
ctba,16,8.899,0.938642,0.9132
ctba,20,11.2884,0.918399,0.9303
ctba,24,13.8625,0.917151,0.9493
ctba,28,16.9099,0.929006,0.9715
ctba,31,20.8393,0.803642,0.989
mtba,4,4.0113,0.999172,0.7316
mtba,8,4.213,0.995847,0.7677
mtba,12,5.9767,0.972389,0.8611
mtba,16,9.8679,0.92488,0.9252
mtba,20,12.3329,0.905063,0.9419
mtba,24,15.0659,0.903447,0.9606
mtba,28,18.4514,0.914729,0.9796
mtba,31,22.6014,0.783889,0.9942
sleeper,4,4.722,0.999098,0.7512
sleeper,8,4.9676,0.994277,0.789
sleeper,12,6.3183,0.973335,0.8593
sleeper,16,9.8339,0.924675,0.9212
sleeper,20,12.5872,0.898812,0.9399
sleeper,24,15.6191,0.897098,0.9608
sleeper,28,19.1617,0.911096,0.9811
sleeper,31,23.5115,0.765832,0.9942
