attack,method,auroc,best_layer
badnets,random,0.5,
badnets,doc_length,0.7112,
badnets,tfidf_l2,0.9426,
badnets,tfidf_lr_cv,0.9847,
badnets,sent_embed_l2,0.8567,
badnets,perplexity,0.6983,
badnets,onion,0.505,
badnets,l2_blind,0.9316,31.0
badnets,act_clustering,0.8825,
badnets,oracle_caa,0.9938,
vpi,random,0.5,
vpi,doc_length,0.7251,
vpi,tfidf_l2,0.943,
vpi,tfidf_lr_cv,0.9914,
vpi,sent_embed_l2,0.9277,
vpi,perplexity,0.8119,
vpi,onion,0.5025,
vpi,l2_blind,0.926,31.0
vpi,act_clustering,0.9025,
vpi,oracle_caa,0.9967,
ctba,random,0.5,
ctba,doc_length,0.7251,
ctba,tfidf_l2,0.9432,
ctba,tfidf_lr_cv,0.995,
ctba,sent_embed_l2,0.8794,
ctba,perplexity,0.7825,
ctba,onion,0.505,
ctba,l2_blind,0.9319,31.0
ctba,act_clustering,0.9163,
ctba,oracle_caa,0.9984,
mtba,random,0.5,
mtba,doc_length,0.7182,
mtba,tfidf_l2,0.9428,
mtba,tfidf_lr_cv,0.9885,
mtba,sent_embed_l2,0.9357,
mtba,perplexity,0.7761,
mtba,onion,0.5037,
mtba,l2_blind,0.9269,31.0
mtba,act_clustering,0.8925,
mtba,oracle_caa,0.9961,
sleeper,random,0.5,
sleeper,doc_length,0.7315,
sleeper,tfidf_l2,0.9431,
sleeper,tfidf_lr_cv,0.9935,
sleeper,sent_embed_l2,0.8711,
sleeper,perplexity,0.7777,
sleeper,onion,0.4987,
sleeper,l2_blind,0.9238,31.0
sleeper,act_clustering,0.9038,
sleeper,oracle_caa,0.9982,
