attack,layer,caa_norm,proj_magnitude,cosine_top1
badnets,0,0.0855,,
badnets,1,3.7246,,
badnets,2,3.7412,,
badnets,3,3.7527,,
badnets,4,3.7876,0.0887,-0.0214
badnets,5,3.7999,,
badnets,6,3.8399,,
badnets,7,3.8888,,
badnets,8,4.0104,0.1159,-0.0399
badnets,9,4.4139,,
badnets,10,4.7136,,
badnets,11,4.9221,,
badnets,12,5.401,0.117,0.0063
badnets,13,7.2818,,
badnets,14,7.4036,,
badnets,15,7.996,,
badnets,16,9.4142,0.1414,0.0372
badnets,17,9.5595,,
badnets,18,10.2722,,
badnets,19,10.781,,
badnets,20,11.7536,0.1288,-0.0156
badnets,21,12.2459,,
badnets,22,12.8254,,
badnets,23,13.1671,,
badnets,24,14.6437,0.153,0.0275
badnets,25,15.068,,
badnets,26,16.1763,,
badnets,27,16.824,,
badnets,28,17.9586,0.1557,0.0094
badnets,29,18.7544,,
badnets,30,19.3851,,
badnets,31,21.7506,0.1503,-0.0089
vpi,0,0.0907,,
vpi,1,4.3183,,
vpi,2,4.3328,,
vpi,3,4.3446,,
vpi,4,4.3762,0.0897,-0.0259
vpi,5,4.3976,,
vpi,6,4.4161,,
vpi,7,4.481,,
vpi,8,4.5688,0.1192,-0.0501
vpi,9,4.9132,,
vpi,10,5.1808,,
vpi,11,5.3469,,
vpi,12,5.7892,0.1163,-0.0079
vpi,13,7.7371,,
vpi,14,7.752,,
vpi,15,8.2852,,
vpi,16,9.6549,0.1419,0.0328
vpi,17,9.8799,,
vpi,18,10.5548,,
vpi,19,11.0378,,
vpi,20,12.0601,0.129,-0.0177
vpi,21,12.5771,,
vpi,22,13.2344,,
vpi,23,13.5631,,
vpi,24,14.9283,0.1505,0.0262
vpi,25,15.3619,,
vpi,26,16.4914,,
vpi,27,17.2494,,
vpi,28,18.492,0.1561,0.0054
vpi,29,19.8429,,
vpi,30,20.6594,,
vpi,31,23.2967,0.169,-0.0192
ctba,0,0.0895,,
ctba,1,4.0734,,
ctba,2,4.0888,,
ctba,3,4.0996,,
ctba,4,4.131,0.0894,-0.0245
ctba,5,4.1446,,
ctba,6,4.1962,,
ctba,7,4.2411,,
ctba,8,4.3476,0.1168,-0.0443
ctba,9,4.6094,,
ctba,10,4.8584,,
ctba,11,5.049,,
ctba,12,5.397,0.1178,-0.015
ctba,13,6.6737,,
ctba,14,6.9063,,
ctba,15,7.5291,,
ctba,16,8.8992,0.134,0.0314
ctba,17,9.1252,,
ctba,18,9.8639,,
ctba,19,10.3317,,
ctba,20,11.2886,0.1283,-0.0108
ctba,21,11.8069,,
ctba,22,12.3906,,
ctba,23,12.7277,,
ctba,24,13.8626,0.1548,0.025
ctba,25,14.3086,,
ctba,26,15.2538,,
ctba,27,15.8707,,
ctba,28,16.9102,0.1544,-0.0009
ctba,29,17.7116,,
ctba,30,18.1318,,
ctba,31,20.8397,0.1441,-0.0041
mtba,0,0.0864,,
mtba,1,3.9559,,
mtba,2,3.9698,,
mtba,3,3.9835,,
mtba,4,4.0113,0.0891,-0.0227
mtba,5,4.0332,,
mtba,6,4.0472,,
mtba,7,4.1019,,
mtba,8,4.213,0.116,-0.0439
mtba,9,4.7365,,
mtba,10,5.055,,
mtba,11,5.3336,,
mtba,12,5.9766,0.1183,0.0191
mtba,13,7.4799,,
mtba,14,7.668,,
mtba,15,8.3099,,
mtba,16,9.8679,0.1462,0.0343
mtba,17,10.0147,,
mtba,18,10.7936,,
mtba,19,11.2969,,
mtba,20,12.3327,0.1292,-0.0158
mtba,21,12.8554,,
mtba,22,13.4674,,
mtba,23,13.8414,,
mtba,24,15.0658,0.1523,0.0223
mtba,25,15.5575,,
mtba,26,16.6185,,
mtba,27,17.2622,,
mtba,28,18.4511,0.1559,0.0048
mtba,29,19.5004,,
mtba,30,20.2692,,
mtba,31,22.6011,0.1487,-0.0085
sleeper,0,0.0934,,
sleeper,1,4.6554,,
sleeper,2,4.6735,,
sleeper,3,4.6858,,
sleeper,4,4.722,0.0879,-0.0234
sleeper,5,4.7401,,
sleeper,6,4.7797,,
sleeper,7,4.8731,,
sleeper,8,4.9677,0.1101,-0.0396
sleeper,9,5.3328,,
sleeper,10,5.6318,,
sleeper,11,5.8728,,
sleeper,12,6.3183,0.1132,-0.0043
sleeper,13,7.584,,
sleeper,14,7.7202,,
sleeper,15,8.2509,,
sleeper,16,9.834,0.1379,0.0282
sleeper,17,10.1844,,
sleeper,18,10.92,,
sleeper,19,11.4887,,
sleeper,20,12.5873,0.129,-0.014
sleeper,21,13.0606,,
sleeper,22,13.7233,,
sleeper,23,14.0924,,
sleeper,24,15.6191,0.1515,0.0257
sleeper,25,16.0813,,
sleeper,26,17.2731,,
sleeper,27,17.9537,,
sleeper,28,19.1617,0.1599,0.0041
sleeper,29,20.2603,,
sleeper,30,21.0495,,
sleeper,31,23.5116,0.1565,-0.0155
